,Zone,ratio_import_conso,PIB_par_habitant,croissance_pop2015_2018,taux_proteine_animal,kilogramme_proteine_par_habitant_par_an,millions_de_kcal_par_habitant_par_an,cluster,F1Cal,F2Cal,F1V,F2V,group
0,Afghanistan,0.4716981132075472,2202.3,7.4195631120198,0.19441441441441448,20.2575,1.4884700000000002,1,-0.6113176794453896,0.26047093623405504,-0.6177789477774464,0.01639740862208444,3
1,Afrique du Sud,0.23114901256732495,12481.8,4.1648642569169265,0.4271660542846984,30.79505,2.130505,4,0.07839126023616272,0.009841828371258101,0.4489980042032144,-0.12390747446541109,5
2,Albanie,0.4444444444444444,13961.8,-0.2774887270204648,0.5337598340105474,42.21955000000001,2.4246950000000003,3,0.4227091862382669,0.31758790149069926,0.27750847882170626,0.14018749590888988,5
3,Algérie,0.0,11349.7,5.920242493132519,0.26922239163580913,33.514300000000034,2.4444049999999997,4,0.2068045529588058,-0.29690330681420946,1.2598411124024294,-0.07057624164305745,6
4,Allemagne,0.5228091236494598,53815.4,1.608440402290554,0.6089396100808371,38.37975,2.599165,3,0.8769134931786002,0.4630238292690516,0.4324620008487986,1.46746386259186,8
5,Angola,0.925414364640884,6653.9,9.496916585524179,0.30744580584354403,19.36325,1.7370349999999999,1,-0.3327292843160441,0.8873854489643452,-0.32487372653327123,0.003193069572660745,3
6,Antigua-et-Barbuda,1.1666666666666667,21908.5,2.083333333333333,0.6474784132148668,29.16715,1.768425,5,0.06030278394846483,1.2535557459748514,-0.2513536863035739,0.008762649910043274,3
7,Arabie saoudite,0.542832909245123,46962.1,5.889683410972317,0.3767548906789413,31.7185,2.407175,4,0.5387809274285497,0.44965282231701037,1.020264094977073,1.1817890308427705,7
8,Argentine,0.006622516556291391,22034.0,2.8989427650413653,0.6468384074941451,38.96375,2.413745,3,0.594229042274493,-0.23325461648454235,0.3457967973906967,0.30261115078120365,5
9,Arménie,0.7333333333333333,13653.8,0.8807588075880758,0.4804878048780489,34.419500000000006,2.220295,3,0.1514067259605827,0.6765172627697503,0.0004860457259056039,0.04718228443470196,3
10,Australie,0.013212221304706853,49756.3,3.8758133183388215,0.6679263108171942,38.63524999999999,2.4761599999999997,3,0.900952392795279,-0.19977506356091768,0.4798000430554965,1.3291907197917183,8
11,Autriche,0.6477272727272727,56352.4,2.3844336969969637,0.6035763411279228,39.80325000000001,2.6842099999999998,3,0.9879238641897613,0.6343803287478409,0.6580442581248533,1.5816854914140528,9
12,Azerbaïdjan,0.2536231884057971,14403.9,3.2864321608040203,0.3445645263827082,34.44869999999999,2.275045,4,0.15391593066380332,0.036626731158520776,0.7370584095659294,0.05339205488455673,5
13,Bahamas,1.1818181818181819,35782.8,3.1088082901554404,0.6505276225946618,29.40075,1.9206299999999998,5,0.2883657501317234,1.2910595065109418,0.01937348819042045,0.5002485038921753,2
14,Bangladesh,0.0,4753.7,3.1733146607013385,0.2071181413741967,22.15185,1.8556599999999999,2,-0.49500134033484444,-0.34959488898202634,-0.41441943037303547,-0.1289507876522757,3
15,Barbade,0.1111111111111111,15638.8,0.6968641114982579,0.5726793130542149,32.51785,2.154595,5,0.15973451060609045,-0.1315746005485278,0.20430912818597158,-0.23041372777617758,4
17,Belize,0.0,7004.9,5.7441253263707575,0.4291881353571926,26.210649999999994,1.9907099999999998,2,-0.0850720093993077,-0.30314461737404635,-0.16162252196231658,-0.1417785702631693,3
18,Bolivie (État plurinational de),0.0,8724.5,4.254382101647142,0.4842896174863388,26.718000000000004,1.7487150000000002,2,-0.1735735366204854,-0.3066660064522707,-0.6228092860898761,-0.03154553988166256,3
19,Bosnie-Herzégovine,0.18181818181818182,14894.8,-3.15884476534296,0.3746453182002433,36.01820000000001,2.3969549999999997,3,0.0806179228808086,-0.0620615477174515,-0.05702740617034441,0.13141592225822596,3
20,Botswana,0.5555555555555556,17766.5,5.900621118012422,0.4268943436499468,23.94035000000001,1.7228,2,-0.161081653996865,0.42077293007126926,-0.4881604450454626,0.3095641381294099,2
21,Brésil,0.00030441400304414006,14651.6,2.3855558579073755,0.5619903826050596,34.91590000000001,2.391115,5,0.35387423027371123,-0.263856863110007,0.7208003093173705,-0.2690332887456448,5
22,Bulgarie,0.675,23091.3,-2.098695405558707,0.5048730598002646,30.33515000000001,2.047285,5,-0.0047165884354263676,0.5916400508393366,-0.18597876369752375,0.0720675025498374,3
23,Burkina Faso,0.0,2189.6,8.303377044200294,0.14242915990513044,29.240149999999996,2.0002,1,-0.19349918346188685,-0.3353087592329702,0.37113698295756536,0.11703124593992612,5
24,Bélarus,0.04044117647058824,19149.6,0.1481011319157939,0.5678085916258837,33.56174999999999,2.3553450000000002,3,0.28544269340666223,-0.21543118346544748,-0.08694293003979148,0.11619866510106033,3
25,Bénin,1.0263157894736843,3287.3,7.914671310404876,0.19490465770553306,23.35270000000001,1.9998349999999998,1,-0.2843144417738559,1.012883414670872,0.05801393439313429,-0.03655254617929021,3
26,Cabo Verde,1.3,7171.8,3.492647058823529,0.3672547635850388,25.86025000000001,1.842155,2,-0.2713663362705704,1.3842073901233996,-0.4821780856000879,-0.05901956111098766,3
27,Cambodge,0.375,4388.8,4.486153846153846,0.2882923870185017,24.0681,1.816605,2,-0.37564092468805,0.1569393754719541,-0.35697110719725306,-0.13500244910791315,3
28,Cameroun,0.025,3652.7,7.606281725888325,0.1567672833495618,26.239849999999993,1.98633,1,-0.26226376919542294,-0.30484675544504064,0.16103941963813573,0.08474684476268951,5
29,Canada,0.11815754339118825,49031.4,2.8267026298044504,0.5434865900383142,38.106000000000016,2.548795,3,0.7936005798762793,-0.07941602060343864,0.5898648083857728,1.3532116577169007,8
30,Chili,0.20915032679738563,24226.2,4.057878156869027,0.5416029700808039,33.42670000000001,2.192555,5,0.3476052641734347,0.008614067464240146,0.6777884492508209,0.15693775581737762,5
31,Chine,0.07688156216269257,16390.4,1.4516458381584485,0.40291596887006215,37.05114999999999,2.334905,4,0.24427337708619942,-0.18564615705602683,0.6115013997939083,0.11839416883372886,5
32,Chypre,0.4117647058823529,39544.7,2.3549201009251477,0.4978704815987767,33.42305000000001,2.21409,5,0.40796855812194455,0.27539543222273827,0.5786420942390964,0.7620073937299434,7
33,Colombie,0.05235602094240838,14730.9,4.3092164877871975,0.5119341563786011,26.608500000000006,2.220295,5,0.11523105563673866,-0.2126671255106422,0.5383361672850052,-0.3693893266086772,5
34,Congo,0.9457364341085271,3298.1,7.398932112890923,0.4561009332872452,21.1189,1.670605,2,-0.30612460117149604,0.9263154986338425,-0.5186248070681216,-0.31510456447542684,3
35,Costa Rica,0.10869565217391304,19642.4,3.020604120824165,0.5578743023537978,30.08329999999999,2.16153,5,0.2023510584633959,-0.13102084423443047,0.39831929222763346,-0.11472809452074048,5
36,Croatie,0.5,28508.5,-1.85274302213667,0.6157586473643497,33.02884999999999,2.23234,3,0.2752100370789078,0.3905193241455547,-0.5068379760257644,0.4544606012404709,2
37,Côte d'Ivoire,0.022222222222222223,5238.3,7.35170928238063,0.24795829713292786,21.00575,2.02064,1,-0.2864101428879852,-0.29991806620143435,-0.13226799567367542,-0.07473899439633125,3
38,Danemark,0.9096774193548387,57184.2,1.0952712100139084,0.6813947525852492,42.70865000000001,2.459735,3,0.9746556954961301,0.9808302888387701,0.2871530800600909,1.6971315150564,8
39,Djibouti,1.0,5519.3,4.692387904066736,0.21401312776675324,23.911149999999992,1.95567,2,-0.35395942127559143,0.9737651864901377,-0.09935940997904308,-0.08414710146181803,3
40,Dominique,0.8,12155.6,1.3888888888888888,0.5554852587624953,28.84594999999999,2.17686,5,0.06786136351477186,0.7669751067840274,0.1983046049689664,-0.44903744732448414,4
41,El Salvador,0.12987012987012986,8776.0,1.4950942220837875,0.3500650195058516,28.06850000000001,1.9272,2,-0.24230389757774728,-0.15246700929348428,-0.5116724013318137,0.03059383090637341,3
42,Espagne,0.13161559888579388,40883.3,0.04497462146360268,0.6218659707335258,39.16085,2.37907,3,0.6436917071457967,-0.0681775549112731,0.04861332992554729,1.0459482648213432,2
43,Estonie,1.0344827586206897,36710.4,0.6046863189720333,0.6221947508558389,38.3834,2.3418400000000004,3,0.5904556459180486,1.1136398315218812,0.04318659756556309,0.8816230627690682,2
44,Eswatini,0.25,8688.1,2.8169014084507045,0.2822711096732448,22.56429999999999,1.7516349999999998,2,-0.4545447913505164,-0.0130835692824952,-0.6441196354487373,0.007871456141145927,3
45,Fidji,0.22727272727272727,13853.4,1.585503963759909,0.400197072072072,25.9296,2.0272099999999997,5,-0.1588662684349998,-0.012849214661655171,0.17758846639857595,-0.28384540744997183,4
46,Finlande,0.14782608695652175,48621.1,0.7604562737642585,0.6393456518053908,43.06269999999999,2.43455,3,0.855180161921994,-0.03185184810029964,0.2926172758818807,1.416304820013604,8
47,France,0.3286066584463625,46183.5,0.8590936935052517,0.5957840236686389,39.4784,2.55135,3,0.7806216886733988,0.19901254141220903,0.35728328144936916,1.224152423365976,8
48,Fédération de Russie,0.04905166775670373,27043.9,0.5139500734214391,0.5482694014397003,37.01465,2.44331,3,0.46578188658074693,-0.1940055964037676,0.18692207413963546,0.49646316268777824,2
49,Gabon,0.975609756097561,14869.8,8.069844266163283,0.4734642178594047,28.81675,1.9640650000000002,2,0.12917982327428,0.9957401868667745,0.09182631960869803,0.21806564700455783,5
51,Ghana,0.7592592592592593,5412.6,6.443376893875768,0.2495126705653021,22.469399999999997,2.1724799999999997,1,-0.2086583230943016,0.6731218540248005,-0.028176497441121606,-0.0901390144483099,3
52,Grenade,1.0,17241.5,0.9009009009009008,0.5668396689577778,26.020850000000006,1.745065,5,-0.15387935857085155,1.014085512346878,-0.4016577548926268,-0.18851345124800756,3
53,Grèce,0.36123348017621143,30314.6,-1.3115377304694924,0.5558023320377568,39.4419,2.474335,3,0.5130384909551466,0.21836884099783596,0.09577687007432467,0.6563475539757648,2
54,Guatemala,0.35014836795252224,8637.6,5.774582560296847,0.3152930934416713,25.15580000000002,1.8436150000000002,2,-0.2447473344903052,0.13577430433077461,-0.1897679296545096,0.03452958639654882,3
56,Guinée-Bissau,1.0,1989.4,7.3105656350053385,0.21304649548924365,15.778949999999995,1.60819,1,-0.644625813002431,0.9560622248701365,-0.6860806463212494,-0.16448492546820892,3
57,Guyana,0.030303030303030304,9702.6,1.540436456996149,0.412351985140469,31.441099999999995,2.1002099999999997,4,-0.034023863980515434,-0.26416989903105825,0.1781706270247478,-0.20930754423106404,4
58,Géorgie,0.7727272727272727,15014.3,-0.5246065450911817,0.4070600494985021,28.02105,2.06371,5,-0.14352014233439472,0.7035407939739293,0.050477790085934116,-0.217085919787245,4
59,Haïti,1.0104166666666667,1728.9,3.838892385147892,0.21339249697458645,18.096700000000006,1.5556299999999998,1,-0.7227923478106787,0.9619694839235389,-1.0332118547480633,-0.11950533079896392,1
60,Honduras,0.08071748878923767,5728.0,4.954109303295787,0.349244232299125,22.94025,1.9286599999999998,2,-0.27815173266031723,-0.2162418897932773,-0.3134723683065925,-0.19631984295542093,3
61,Hongrie,0.22676579925650558,32622.8,-0.7314309261357783,0.572530174340635,32.66020000000001,2.3871,3,0.3751019171068747,0.03666027746505273,-0.18353048254904375,0.590866456066311,2
62,Inde,0.0,6754.3,3.1412598455467147,0.2369376479873717,23.122750000000003,1.820255,2,-0.4517062004035451,-0.3447188545007881,-0.4602749956075377,-0.038200771840878,3
63,Indonésie,0.0,11812.2,3.4699313709740687,0.32352941176470595,24.57180000000001,2.0783099999999997,2,-0.18383722175684836,-0.31792672524552107,-0.2298017375339168,0.038440139374946045,3
64,Iraq,0.7138263665594855,10881.2,7.444259062642196,0.22245956667683844,23.92210000000001,1.875005,1,-0.2569928709539478,0.6059916005880734,-0.13490052191457258,0.28901784100006006,2
67,Israël,0.0,40161.9,4.819852063946552,0.5889449613625615,46.28930000000001,2.56814,3,0.9955525246963198,-0.22035376851559152,1.0393822454499562,1.1941114516899214,7
68,Italie,0.08096468561584841,42412.7,0.08082207597275141,0.5347985347985349,38.86155,2.5484299999999998,3,0.6649918572657177,-0.1392530283004593,0.3310278055792165,1.1068756637702992,8
69,Jamaïque,0.22077922077922077,9761.5,1.4991482112436116,0.4863762011320256,27.72904999999999,2.0169900000000003,5,-0.09879575917264447,-0.011158605113790984,0.10265811212211629,-0.4595147646022846,4
70,Japon,0.44539877300613495,41429.3,-0.6155563591767426,0.5568155784650631,31.86449999999999,1.972825,5,0.23557926668455928,0.31112173936631254,-0.1162276608458408,0.8121584439728418,2
71,Jordanie,0.2591093117408907,9906.1,7.004515805318616,0.3354064217529653,25.236099999999997,2.033415,2,-0.09356994746900944,0.029822822201897137,0.11024273291186215,0.011818372886879439,3
72,Kazakhstan,0.5701754385964912,26351.4,4.08296943231441,0.5980542195015307,33.39020000000001,2.29658,5,0.45574407493119784,0.49545024918151764,0.7090672534029898,0.15748196431284767,5
73,Kenya,0.03225806451612903,4329.9,6.839452843772497,0.24177604926268026,22.524149999999995,1.600525,1,-0.4742496798643979,-0.303547757342749,-0.5525525286920655,0.07692606880015482,3
74,Kirghizistan,0.7837837837837838,5253.1,5.472715736040609,0.4018248607654934,30.80235,1.984505,2,-0.03142557119424181,0.7249138909406028,-0.004034282316533799,-0.06865294956184625,3
75,Kiribati,1.0,2275.2,4.310344827586206,0.490140078879369,26.838450000000005,2.25643,5,0.012872247124935982,1.0221618577133202,0.6096628841359091,-0.8382168206988607,4
76,Koweït,0.735,49846.1,7.2758037225042305,0.4940378090159958,37.64975,2.5316400000000003,3,0.8776014437506283,0.7335073085254672,1.1008778830132524,1.4468958555892701,7
77,Lesotho,1.0,2767.7,2.324478178368121,0.2895805142083896,24.27615,1.64542,2,-0.5265177309889773,0.9653866025506076,-0.7571061713162871,-0.14782348848852667,3
78,Lettonie,1.146341463414634,30830.1,-3.6307053941908722,0.6141341380317338,37.49645,2.3374599999999996,3,0.38734782343935825,1.2447488805741966,-0.43620315683344996,0.6123318524098539,2
