Zone,ratio_import_conso,PIB_par_habitant,croissance_pop2015_2018,taux_proteine_animal,kilogramme_proteine_par_habitant_par_an,millions_de_kcal_par_habitant_par_an,cluster
Afghanistan,0.4716981132075472,2202.3,7.4195631120198,0.19441441441441448,20.2575,1.4884700000000002,1
Afrique du Sud,0.23114901256732495,12481.8,4.1648642569169265,0.4271660542846984,30.79505,2.130505,4
Albanie,0.4444444444444444,13961.8,-0.2774887270204648,0.5337598340105474,42.21955000000001,2.4246950000000003,3
Algérie,0.0,11349.7,5.920242493132519,0.26922239163580913,33.514300000000034,2.4444049999999997,4
Allemagne,0.5228091236494598,53815.4,1.608440402290554,0.6089396100808371,38.37975,2.599165,3
Angola,0.925414364640884,6653.9,9.496916585524179,0.30744580584354403,19.36325,1.7370349999999999,1
Antigua-et-Barbuda,1.1666666666666667,21908.5,2.083333333333333,0.6474784132148668,29.16715,1.768425,5
Arabie saoudite,0.542832909245123,46962.1,5.889683410972317,0.3767548906789413,31.7185,2.407175,4
Argentine,0.006622516556291391,22034.0,2.8989427650413653,0.6468384074941451,38.96375,2.413745,3
Arménie,0.7333333333333333,13653.8,0.8807588075880758,0.4804878048780489,34.419500000000006,2.220295,3
Australie,0.013212221304706853,49756.3,3.8758133183388215,0.6679263108171942,38.63524999999999,2.4761599999999997,3
Autriche,0.6477272727272727,56352.4,2.3844336969969637,0.6035763411279228,39.80325000000001,2.6842099999999998,3
Azerbaïdjan,0.2536231884057971,14403.9,3.2864321608040203,0.3445645263827082,34.44869999999999,2.275045,4
Bahamas,1.1818181818181819,35782.8,3.1088082901554404,0.6505276225946618,29.40075,1.9206299999999998,5
Bangladesh,0.0,4753.7,3.1733146607013385,0.2071181413741967,22.15185,1.8556599999999999,2
Barbade,0.1111111111111111,15638.8,0.6968641114982579,0.5726793130542149,32.51785,2.154595,5
Belgique,1.8703703703703705,51707.8,1.6896011147883645,0.5876392093909903,36.37954999999999,2.76159,3
Belize,0.0,7004.9,5.7441253263707575,0.4291881353571926,26.210649999999994,1.9907099999999998,2
Bolivie (État plurinational de),0.0,8724.5,4.254382101647142,0.4842896174863388,26.718000000000004,1.7487150000000002,2
Bosnie-Herzégovine,0.18181818181818182,14894.8,-3.15884476534296,0.3746453182002433,36.01820000000001,2.3969549999999997,3
Botswana,0.5555555555555556,17766.5,5.900621118012422,0.4268943436499468,23.94035000000001,1.7228,2
Brésil,0.00030441400304414006,14651.6,2.3855558579073755,0.5619903826050596,34.91590000000001,2.391115,5
Bulgarie,0.675,23091.3,-2.098695405558707,0.5048730598002646,30.33515000000001,2.047285,5
Burkina Faso,0.0,2189.6,8.303377044200294,0.14242915990513044,29.240149999999996,2.0002,1
Bélarus,0.04044117647058824,19149.6,0.1481011319157939,0.5678085916258837,33.56174999999999,2.3553450000000002,3
Bénin,1.0263157894736843,3287.3,7.914671310404876,0.19490465770553306,23.35270000000001,1.9998349999999998,1
Cabo Verde,1.3,7171.8,3.492647058823529,0.3672547635850388,25.86025000000001,1.842155,2
Cambodge,0.375,4388.8,4.486153846153846,0.2882923870185017,24.0681,1.816605,2
Cameroun,0.025,3652.7,7.606281725888325,0.1567672833495618,26.239849999999993,1.98633,1
Canada,0.11815754339118825,49031.4,2.8267026298044504,0.5434865900383142,38.106000000000016,2.548795,3
Chili,0.20915032679738563,24226.2,4.057878156869027,0.5416029700808039,33.42670000000001,2.192555,5
Chine,0.07688156216269257,16390.4,1.4516458381584485,0.40291596887006215,37.05114999999999,2.334905,4
Chypre,0.4117647058823529,39544.7,2.3549201009251477,0.4978704815987767,33.42305000000001,2.21409,5
Colombie,0.05235602094240838,14730.9,4.3092164877871975,0.5119341563786011,26.608500000000006,2.220295,5
Congo,0.9457364341085271,3298.1,7.398932112890923,0.4561009332872452,21.1189,1.670605,2
Costa Rica,0.10869565217391304,19642.4,3.020604120824165,0.5578743023537978,30.08329999999999,2.16153,5
Croatie,0.5,28508.5,-1.85274302213667,0.6157586473643497,33.02884999999999,2.23234,3
Côte d'Ivoire,0.022222222222222223,5238.3,7.35170928238063,0.24795829713292786,21.00575,2.02064,1
Danemark,0.9096774193548387,57184.2,1.0952712100139084,0.6813947525852492,42.70865000000001,2.459735,3
Djibouti,1.0,5519.3,4.692387904066736,0.21401312776675324,23.911149999999992,1.95567,2
Dominique,0.8,12155.6,1.3888888888888888,0.5554852587624953,28.84594999999999,2.17686,5
El Salvador,0.12987012987012986,8776.0,1.4950942220837875,0.3500650195058516,28.06850000000001,1.9272,2
Espagne,0.13161559888579388,40883.3,0.04497462146360268,0.6218659707335258,39.16085,2.37907,3
Estonie,1.0344827586206897,36710.4,0.6046863189720333,0.6221947508558389,38.3834,2.3418400000000004,3
Eswatini,0.25,8688.1,2.8169014084507045,0.2822711096732448,22.56429999999999,1.7516349999999998,2
Fidji,0.22727272727272727,13853.4,1.585503963759909,0.400197072072072,25.9296,2.0272099999999997,5
Finlande,0.14782608695652175,48621.1,0.7604562737642585,0.6393456518053908,43.06269999999999,2.43455,3
France,0.3286066584463625,46183.5,0.8590936935052517,0.5957840236686389,39.4784,2.55135,3
Fédération de Russie,0.04905166775670373,27043.9,0.5139500734214391,0.5482694014397003,37.01465,2.44331,3
Gabon,0.975609756097561,14869.8,8.069844266163283,0.4734642178594047,28.81675,1.9640650000000002,2
Gambie,2.3333333333333335,2206.9,8.508771929824562,0.2564533374064456,23.89654999999999,1.85274,1
Ghana,0.7592592592592593,5412.6,6.443376893875768,0.2495126705653021,22.469399999999997,2.1724799999999997,1
Grenade,1.0,17241.5,0.9009009009009008,0.5668396689577778,26.020850000000006,1.745065,5
Grèce,0.36123348017621143,30314.6,-1.3115377304694924,0.5558023320377568,39.4419,2.474335,3
Guatemala,0.35014836795252224,8637.6,5.774582560296847,0.3152930934416713,25.15580000000002,1.8436150000000002,2
Guinée,1.5925925925925926,2564.0,7.910423715160303,0.1981872058567196,20.940050000000006,1.99144,1
Guinée-Bissau,1.0,1989.4,7.3105656350053385,0.21304649548924365,15.778949999999995,1.60819,1
Guyana,0.030303030303030304,9702.6,1.540436456996149,0.412351985140469,31.441099999999995,2.1002099999999997,4
Géorgie,0.7727272727272727,15014.3,-0.5246065450911817,0.4070600494985021,28.02105,2.06371,5
Haïti,1.0104166666666667,1728.9,3.838892385147892,0.21339249697458645,18.096700000000006,1.5556299999999998,1
Honduras,0.08071748878923767,5728.0,4.954109303295787,0.349244232299125,22.94025,1.9286599999999998,2
Hongrie,0.22676579925650558,32622.8,-0.7314309261357783,0.572530174340635,32.66020000000001,2.3871,3
Inde,0.0,6754.3,3.1412598455467147,0.2369376479873717,23.122750000000003,1.820255,2
Indonésie,0.0,11812.2,3.4699313709740687,0.32352941176470595,24.57180000000001,2.0783099999999997,2
Iraq,0.7138263665594855,10881.2,7.444259062642196,0.22245956667683844,23.92210000000001,1.875005,1
Irlande,0.8333333333333334,86781.4,3.465449263332641,0.6130268199233718,42.86925000000001,2.775095,3
Islande,0.1,55873.9,2.0771513353115725,0.7166848716548333,53.4652,2.63165,3
Israël,0.0,40161.9,4.819852063946552,0.5889449613625615,46.28930000000001,2.56814,3
Italie,0.08096468561584841,42412.7,0.08082207597275141,0.5347985347985349,38.86155,2.5484299999999998,3
Jamaïque,0.22077922077922077,9761.5,1.4991482112436116,0.4863762011320256,27.72904999999999,2.0169900000000003,5
Japon,0.44539877300613495,41429.3,-0.6155563591767426,0.5568155784650631,31.86449999999999,1.972825,5
Jordanie,0.2591093117408907,9906.1,7.004515805318616,0.3354064217529653,25.236099999999997,2.033415,2
Kazakhstan,0.5701754385964912,26351.4,4.08296943231441,0.5980542195015307,33.39020000000001,2.29658,5
Kenya,0.03225806451612903,4329.9,6.839452843772497,0.24177604926268026,22.524149999999995,1.600525,1
Kirghizistan,0.7837837837837838,5253.1,5.472715736040609,0.4018248607654934,30.80235,1.984505,2
Kiribati,1.0,2275.2,4.310344827586206,0.490140078879369,26.838450000000005,2.25643,5
Koweït,0.735,49846.1,7.2758037225042305,0.4940378090159958,37.64975,2.5316400000000003,3
Lesotho,1.0,2767.7,2.324478178368121,0.2895805142083896,24.27615,1.64542,2
Lettonie,1.146341463414634,30830.1,-3.6307053941908722,0.6141341380317338,37.49645,2.3374599999999996,3
Liban,0.08196721311475409,14717.4,4.752879428488118,0.3254163649529325,25.20325,2.110065,2
Libéria,0.5492957746478874,1427.8,7.200664038182197,0.2728971962616822,15.622000000000005,1.57461,1
Lituanie,0.5421686746987951,36974.9,-4.676901106747589,0.6232708876768636,46.17614999999999,2.47835,3
Luxembourg,1.0909090909090908,114482.0,6.125827814569536,0.6228993536472761,39.5295,2.5323700000000002,3
Macédoine du Nord,0.975609756097561,16506.1,0.19203072491598652,0.4334479080241789,30.795049999999996,2.214455,3
Madagascar,0.0,1646.2,7.722184144391135,0.21210061182868795,16.107449999999993,1.4063450000000002,1
Malaisie,0.04678362573099415,28350.6,3.986932250697792,0.5577941366395452,28.26195,2.08123,5
Malawi,0.0,1059.7,7.705451138180014,0.13900074571215512,24.473250000000004,1.7833900000000003,1
Maldives,1.0833333333333333,18914.3,11.821705426356587,0.604433497536946,29.638,1.6939650000000002,2
Mali,0.0,2327.4,8.591047279589057,0.2689176245210729,30.4848,2.080135,2
Malte,0.6428571428571429,43340.2,1.1389521640091116,0.5678184631253222,42.46410000000002,2.497695,3
Maroc,0.00410958904109589,7514.7,3.7886147270254513,0.2750495049504949,36.865000000000016,2.47689,4
Maurice,0.058823529411764705,22989.3,0.6314127861089187,0.4642334121888026,32.40105000000001,2.2199299999999997,3
Mauritanie,1.2608695652173914,5197.0,8.108108108108109,0.3614296169797513,29.922699999999992,2.09802,2
Mexique,0.22608095676172954,19746.4,3.4336838601802038,0.4897200349956256,33.37559999999999,2.294025,5
Mongolie,1.3333333333333333,12309.8,5.4258675078864345,0.6512773513575437,31.86085000000001,1.845805,5
Monténégro,0.9,21378.6,0.15923566878980894,0.6145569066573353,41.72315,2.523245,3
Mozambique,0.22321428571428573,1280.5,8.319772172497968,0.19141914191419132,15.483299999999998,1.528255,1
Myanmar,0.0006191950464396285,5142.2,1.9121918522380281,0.456480970766685,33.08725,1.9542099999999998,4
Namibie,1.0833333333333333,9637.2,5.433006535947713,0.3508531383302865,23.95859999999999,1.78485,2
Nicaragua,0.05303030303030303,5407.1,3.758119393751933,0.3103611417757451,23.144649999999995,1.86515,2
Niger,0.08,1219.1,10.876442543331995,0.1412306201550388,30.134400000000007,1.85128,1
Nigéria,0.08530805687203792,5135.5,7.524186343331205,0.12508532423208188,21.389,1.8713549999999999,1
Norvège,0.018018018018018018,63633.1,2.5852379168227797,0.5995760840766584,41.328950000000006,2.477985,3
Nouvelle-Zélande,0.004784688995215311,42887.5,2.6987138941598143,0.5498721227621479,34.25160000000001,2.315925,5
Népal,0.0,3416.8,3.8475227790432798,0.1913946587537092,27.0611,2.00969,2
Oman,1.0714285714285714,27896.3,11.638020294056739,0.4933724340175956,31.11625,2.14693,2
Ouganda,0.0,2181.2,10.540850476257342,0.2607120017053933,17.122150000000005,1.47971,1
Ouzbékistan,0.1044776119402985,6998.7,4.76043847764503,0.3833369075702336,34.03990000000001,2.188905,4
Pakistan,0.0009569377990430622,4690.5,6.031720602371035,0.3955502463789757,24.444050000000008,1.7979900000000002,2
Panama,0.10194174757281553,31458.7,5.003591094086665,0.5321957902603062,29.30585000000001,2.04692,5
Papouasie-Nouvelle-Guinée,0.7241379310344828,4387.6,5.7866604694399255,0.5499146095326812,23.509650000000004,1.669145,2
Paraguay,0.014492753623188406,12684.6,3.838412880966073,0.4054600606673408,25.26895,2.01188,2
Pays-Bas,2.5,57141.4,0.7151230949589683,0.6556776556776558,38.86155,2.384545,3
Philippines,0.20614035087719298,8908.2,4.254999953118114,0.4208673387742038,22.808850000000003,1.9038400000000002,2
Pologne,0.061748195669607056,33086.4,-0.29534307262275195,0.5495683521487524,38.47465,2.52069,3
Portugal,0.25297619047619047,34798.0,-1.0920436817472698,0.63629363449692,42.6612,2.52507,3
Pérou,0.04239854633555421,12847.9,4.745381224796024,0.38281450990481103,28.3751,2.0261150000000003,2
Roumanie,0.37105263157894736,29909.0,-2.148057008100072,0.4906559179186515,39.8434,2.572885,3
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,0.3767026773132926,46699.3,1.9093860772690716,0.5582739356578694,37.8943,2.45791,3
Rwanda,0.0,2226.2,7.584132661355878,0.14089986468200266,21.578799999999994,1.59505,1
République centrafricaine,0.5555555555555556,944.9,3.707672524646378,0.4437710437710439,16.26075000000001,1.28188,1
République de Corée,0.19653179190751446,42661.2,0.6820136011881498,0.5165285129331869,36.54745,2.46886,3
République de Moldova,0.25,13033.9,-0.4689042448173741,0.49131352492287705,22.48035,1.7169599999999998,5
République dominicaine,0.1425,18419.0,3.2464477274865913,0.5050535525720321,24.195850000000004,2.057505,2
République démocratique populaire lao,0.975609756097561,7826.4,4.545454545454546,0.23621944877795106,28.075800000000008,2.004945,2
République-Unie de Tanzanie,0.012345679012345678,2660.4,8.577060359064513,0.20597217509331528,21.51309999999999,1.7249900000000002,1
Saint-Kitts-et-Nevis,0.75,26356.5,1.9230769230769231,0.6422268362315074,28.1269,1.8593099999999998,5
Saint-Vincent-et-les Grenadines,0.8888888888888888,12466.2,0.9090909090909092,0.5613800779076238,32.79525,2.15423,5
Sainte-Lucie,0.9090909090909091,15448.8,1.6483516483516485,0.6232828870779974,31.35350000000001,1.90822,5
Samoa,1.2,6517.0,1.020408163265306,0.5927359672093818,32.057950000000005,2.188905,5
Sao Tomé-et-Principe,1.0,3963.8,5.6872037914691935,0.3045154185022028,19.885199999999994,1.757475,1
Serbie,0.1650485436893204,18179.8,-0.8406225150516871,0.4988729386641356,30.76585,2.04838,5
Sierra Leone,0.5625,1718.4,6.2483660130718945,0.22470588235294126,18.615,1.709295,1
Slovaquie,1.0609756097560976,32792.6,0.3117549972492206,0.5271241369592786,25.904050000000005,2.039255,5
Slovénie,0.45098039215686275,38688.8,0.3368623676612127,0.5317204859308484,35.15315,2.3210349999999997,3
Soudan,0.0,3958.5,6.935074876800152,0.2761173567315603,26.6231,1.88559,2
Sri Lanka,0.0,13078.1,1.5120825286165152,0.2720994475138121,23.783400000000015,1.9633349999999998,2
Suisse,0.3409090909090909,68627.8,2.68590194698569,0.6280167890870936,34.784500000000016,2.4663049999999997,5
Suriname,0.7333333333333333,16328.7,2.951388888888889,0.40718760303330026,22.1409,1.97465,2
Suède,0.42857142857142855,53205.1,2.0758122743682312,0.6399734647460199,38.5148,2.3235900000000003,3
Sénégal,0.0,3394.9,8.048442033556201,0.22006108342710184,22.70665,1.820255,1
Tadjikistan,0.4666666666666667,3379.7,7.109108889133061,0.23068412317905224,19.79395,1.53227,1
Tchad,0.125,1579.6,8.831890425119525,0.16785946649316846,22.4402,1.54979,1
Tchéquie,0.4801587301587302,40314.2,0.6094130883180199,0.6076604554865427,31.73310000000001,2.3367299999999998,3
Thaïlande,0.0019550342130987292,18463.1,1.02696318488218,0.4277812895069532,23.097200000000004,2.037795,5
Timor-Leste,1.8,3123.1,5.678233438485805,0.2936713226418349,21.166349999999994,1.66002,1
Togo,0.38596491228070173,1595.9,7.174546837368487,0.1499229847680985,21.326950000000004,1.77755,1
Trinité-et-Tobago,0.2696629213483146,26176.0,1.4388489208633095,0.5179343381236124,31.240350000000007,2.177955,5
Tunisie,0.009950248756218905,10755.6,3.329009943795936,0.2870472559446172,36.37955000000001,2.5199599999999998,4
Turquie,0.0034965034965034965,28167.4,4.6283701724556705,0.3568524708645765,40.40185000000001,2.71195,3
Ukraine,0.12213039485766758,12810.3,-1.5278217239976497,0.4427215922240224,31.5433,2.26008,3
Uruguay,0.17647058823529413,21561.1,1.072774717309365,0.5353172765169059,31.521400000000003,2.306435,5
Vanuatu,1.0,3143.6,7.508532423208193,0.4270523846755278,23.341750000000005,1.93523,2
Viet Nam,0.3906455862977602,8041.2,3.0027421346785843,0.4023536572993812,35.97805,2.1608,4
Zambie,0.1896551724137931,3479.5,8.48893499308437,0.22628099173553715,22.0825,1.46949,1
Zimbabwe,0.05714285714285714,2835.9,4.321628921670476,0.2624065261726715,16.107450000000004,1.3928399999999999,1
Égypte,0.026900584795321637,11763.2,6.076769893521905,0.2707970048210073,35.58384999999999,2.43455,4
Émirats arabes unis,1.004950495049505,67119.1,3.82099470459973,0.4581365782782418,40.1938,2.454625,3
Équateur,0.0,11375.3,5.104191055958792,0.4661813770094025,24.068099999999994,1.909315,2
États-Unis d'Amérique,0.006865111289890051,62682.8,1.900970968767579,0.6468568409931325,41.45670000000001,2.74042,3
Éthiopie,0.013333333333333334,2219.7,7.680546400058595,0.09889944218302436,24.210449999999994,1.6841099999999998,1
Îles Salomon,1.6666666666666667,2367.4,7.656967840735067,0.2892904197252023,19.39245,1.74689,1
