,Zone,croissance_pop2015_2018,taux_proteine_animal,kilogramme_proteine_par_habitant_par_an,millions_de_kcal_par_habitant_par_an
0,Afghanistan,7.4195631120198,0.19441441441441448,20.2575,1.48847
1,Afrique du Sud,4.164864256916927,0.4271660542846984,30.795049999999996,2.130505
2,Albanie,-0.2774887270204648,0.5337598340105474,42.219550000000005,2.424695
3,Algérie,5.920242493132519,0.26922239163580913,33.514300000000034,2.444405
4,Allemagne,1.6084404022905539,0.6089396100808371,38.37975,2.599165
5,Angola,9.49691658552418,0.30744580584354403,19.363249999999997,1.737035
6,Antigua-et-Barbuda,2.083333333333333,0.6474784132148668,29.16715,1.768425
7,Arabie saoudite,5.889683410972317,0.3767548906789413,31.718500000000002,2.407175
8,Argentine,2.8989427650413653,0.6468384074941451,38.96375,2.413745
9,Arménie,0.8807588075880758,0.48048780487804893,34.419500000000006,2.220295
10,Australie,3.875813318338822,0.6679263108171942,38.63524999999999,2.47616
11,Autriche,2.3844336969969633,0.6035763411279228,39.803250000000006,2.68421
12,Azerbaïdjan,3.2864321608040203,0.3445645263827082,34.44869999999999,2.275045
13,Bahamas,3.1088082901554404,0.6505276225946618,29.40075,1.92063
14,Bangladesh,3.173314660701339,0.2071181413741967,22.151849999999996,1.85566
15,Barbade,0.6968641114982579,0.572679313054215,32.51785,2.154595
16,Bélarus,0.1481011319157939,0.5678085916258837,33.56174999999999,2.355345
17,Belgique,1.6896011147883645,0.5876392093909903,36.37954999999999,2.76159
18,Belize,5.7441253263707575,0.4291881353571926,26.210649999999994,1.99071
19,Bénin,7.914671310404876,0.19490465770553306,23.352700000000006,1.999835
20,Bolivie (État plurinational de),4.254382101647142,0.48428961748633875,26.718,1.748715
21,Bosnie-Herzégovine,-3.15884476534296,0.37464531820024327,36.01820000000001,2.396955
22,Botswana,5.900621118012422,0.4268943436499468,23.940350000000006,1.7228
23,Brésil,2.3855558579073755,0.5619903826050596,34.91590000000001,2.391115
24,Bulgarie,-2.098695405558707,0.5048730598002646,30.335150000000006,2.047285
25,Burkina Faso,8.303377044200294,0.14242915990513044,29.240149999999993,2.0002
26,Cabo Verde,3.4926470588235294,0.3672547635850388,25.860250000000008,1.842155
27,Cambodge,4.486153846153846,0.2882923870185017,24.068099999999998,1.816605
28,Cameroun,7.6062817258883255,0.1567672833495618,26.239849999999993,1.98633
29,Canada,2.8267026298044504,0.5434865900383142,38.106000000000016,2.548795
30,Chili,4.057878156869027,0.5416029700808039,33.42670000000001,2.192555
31,Chine,1.4516458381584485,0.40291596887006215,37.05114999999999,2.334905
32,Chypre,2.3549201009251473,0.4978704815987767,33.42305000000001,2.21409
33,Colombie,4.3092164877871975,0.511934156378601,26.608500000000003,2.220295
34,Congo,7.398932112890923,0.4561009332872452,21.1189,1.670605
35,Costa Rica,3.020604120824165,0.5578743023537978,30.08329999999999,2.16153
36,Côte d'Ivoire,7.35170928238063,0.24795829713292783,21.00575,2.02064
37,Croatie,-1.85274302213667,0.6157586473643497,33.02884999999999,2.23234
38,Cuba,0.11465866995942846,0.40586710650329855,30.981199999999994,2.44331
39,Danemark,1.0952712100139084,0.6813947525852492,42.708650000000006,2.459735
40,Djibouti,4.692387904066736,0.21401312776675324,23.911149999999992,1.95567
41,Dominique,1.3888888888888888,0.5554852587624953,28.84594999999999,2.17686
42,Égypte,6.076769893521905,0.2707970048210073,35.58384999999999,2.43455
43,El Salvador,1.4950942220837875,0.3500650195058516,28.068500000000007,1.9272
44,Émirats arabes unis,3.82099470459973,0.45813657827824183,40.193799999999996,2.454625
45,Équateur,5.104191055958792,0.4661813770094025,24.068099999999994,1.909315
46,Espagne,0.04497462146360268,0.6218659707335258,39.16085,2.37907
47,Estonie,0.6046863189720333,0.6221947508558389,38.3834,2.34184
48,Eswatini,2.8169014084507045,0.2822711096732448,22.564299999999992,1.751635
49,États-Unis d'Amérique,1.900970968767579,0.6468568409931325,41.456700000000005,2.74042
50,Éthiopie,7.680546400058595,0.09889944218302435,24.210449999999994,1.68411
51,Fédération de Russie,0.5139500734214391,0.5482694014397003,37.01465,2.44331
52,Fidji,1.5855039637599093,0.400197072072072,25.9296,2.02721
53,Finlande,0.7604562737642585,0.6393456518053908,43.06269999999999,2.43455
54,France,0.8590936935052517,0.5957840236686389,39.4784,2.55135
55,Gabon,8.069844266163283,0.47346421785940473,28.81675,1.964065
56,Gambie,8.508771929824562,0.2564533374064456,23.896549999999987,1.85274
57,Géorgie,-0.5246065450911817,0.4070600494985021,28.021050000000002,2.06371
58,Ghana,6.443376893875769,0.24951267056530213,22.469399999999993,2.17248
59,Grèce,-1.3115377304694924,0.5558023320377568,39.4419,2.474335
60,Grenade,0.9009009009009009,0.5668396689577778,26.020850000000003,1.745065
61,Guatemala,5.774582560296846,0.31529309344167133,25.15580000000002,1.843615
62,Guinée,7.910423715160303,0.19818720585671962,20.940050000000003,1.99144
63,Guinée-Bissau,7.310565635005337,0.21304649548924365,15.778949999999996,1.60819
64,Guyana,1.540436456996149,0.412351985140469,31.441099999999995,2.10021
65,Haïti,3.838892385147892,0.21339249697458643,18.096700000000006,1.55563
66,Honduras,4.954109303295787,0.349244232299125,22.940250000000002,1.92866
67,Hongrie,-0.7314309261357783,0.572530174340635,32.66020000000001,2.3871
68,Îles Salomon,7.656967840735068,0.2892904197252023,19.392449999999997,1.74689
69,Inde,3.141259845546715,0.23693764798737174,23.122750000000003,1.820255
70,Indonésie,3.469931370974069,0.32352941176470595,24.571800000000007,2.07831
71,Iran (République islamique d'),4.0440097799511,0.28848173649200615,31.27685000000001,2.25351
72,Iraq,7.444259062642196,0.22245956667683844,23.922100000000007,1.875005
73,Irlande,3.4654492633326415,0.6130268199233718,42.86925000000001,2.775095
74,Islande,2.0771513353115725,0.7166848716548333,53.4652,2.63165
75,Israël,4.819852063946552,0.5889449613625615,46.28930000000001,2.56814
76,Italie,0.08082207597275141,0.5347985347985349,38.86155,2.54843
77,Jamaïque,1.4991482112436116,0.4863762011320256,27.729049999999987,2.01699
78,Japon,-0.6155563591767426,0.5568155784650631,31.86449999999999,1.972825
79,Jordanie,7.004515805318615,0.33540642175296526,25.236099999999993,2.033415
80,Kazakhstan,4.08296943231441,0.5980542195015307,33.39020000000001,2.29658
81,Kenya,6.839452843772498,0.24177604926268023,22.524149999999995,1.600525
82,Kirghizistan,5.472715736040609,0.4018248607654934,30.802349999999997,1.984505
83,Kiribati,4.310344827586207,0.49014007887936906,26.838450000000005,2.25643
84,Koweït,7.2758037225042305,0.4940378090159958,37.649750000000004,2.53164
85,Lesotho,2.324478178368121,0.2895805142083896,24.276149999999998,1.64542
86,Lettonie,-3.630705394190872,0.6141341380317338,37.49645,2.33746
87,Liban,4.752879428488118,0.3254163649529325,25.20325,2.110065
88,Libéria,7.200664038182196,0.2728971962616822,15.622000000000003,1.57461
89,Lituanie,-4.67690110674759,0.6232708876768636,46.17614999999999,2.47835
90,Luxembourg,6.125827814569536,0.6228993536472761,39.5295,2.53237
91,Macédoine du Nord,0.19203072491598655,0.43344790802417893,30.795049999999993,2.214455
92,Madagascar,7.722184144391135,0.21210061182868795,16.107449999999993,1.406345
93,Malaisie,3.9869322506977922,0.5577941366395452,28.26195,2.08123
94,Malawi,7.705451138180014,0.13900074571215512,24.473250000000004,1.78339
95,Maldives,11.821705426356589,0.604433497536946,29.637999999999998,1.693965
96,Mali,8.591047279589056,0.26891762452107293,30.4848,2.080135
97,Malte,1.1389521640091116,0.5678184631253222,42.46410000000002,2.497695
98,Maroc,3.7886147270254513,0.2750495049504949,36.865000000000016,2.47689
99,Maurice,0.6314127861089187,0.4642334121888026,32.40105000000001,2.21993
100,Mauritanie,8.108108108108109,0.3614296169797513,29.92269999999999,2.09802
101,Mexique,3.4336838601802033,0.48972003499562555,33.37559999999999,2.294025
102,Mongolie,5.425867507886435,0.6512773513575437,31.860850000000006,1.845805
103,Monténégro,0.15923566878980894,0.6145569066573353,41.72315,2.523245
104,Mozambique,8.319772172497967,0.19141914191419135,15.483299999999998,1.528255
105,Myanmar,1.912191852238028,0.45648097076668503,33.08725,1.95421
106,Namibie,5.433006535947713,0.3508531383302865,23.95859999999999,1.78485
107,Népal,3.84752277904328,0.19139465875370917,27.061099999999996,2.00969
108,Nicaragua,3.758119393751933,0.3103611417757451,23.144649999999995,1.86515
109,Niger,10.876442543331995,0.1412306201550388,30.134400000000003,1.85128
110,Nigéria,7.5241863433312055,0.12508532423208188,21.389,1.871355
111,Norvège,2.58523791682278,0.5995760840766584,41.328950000000006,2.477985
112,Nouvelle-Calédonie,3.214285714285714,0.5771327014218008,30.805999999999987,2.08342
113,Nouvelle-Zélande,2.6987138941598143,0.549872122762148,34.25160000000001,2.315925
114,Oman,11.63802029405674,0.4933724340175956,31.11625,2.14693
115,Ouganda,10.540850476257342,0.26071200170539327,17.122150000000005,1.47971
116,Ouzbékistan,4.76043847764503,0.38333690757023364,34.03990000000001,2.188905
117,Pakistan,6.031720602371035,0.3955502463789757,24.444050000000008,1.79799
118,Panama,5.003591094086665,0.5321957902603062,29.305850000000007,2.04692
119,Papouasie-Nouvelle-Guinée,5.7866604694399255,0.5499146095326812,23.509650000000004,1.669145
120,Paraguay,3.8384128809660725,0.4054600606673408,25.26895,2.01188
121,Pays-Bas,0.7151230949589683,0.6556776556776558,38.86155,2.384545
122,Pérou,4.745381224796024,0.382814509904811,28.3751,2.026115
123,Philippines,4.254999953118114,0.4208673387742038,22.808850000000003,1.90384
124,Pologne,-0.29534307262275195,0.5495683521487524,38.47465,2.52069
125,Polynésie française,1.7985611510791366,0.6630525437864889,35.01080000000002,2.142185
126,Portugal,-1.0920436817472698,0.63629363449692,42.661199999999994,2.52507
127,République centrafricaine,3.707672524646378,0.44377104377104387,16.26075000000001,1.28188
128,République de Corée,0.6820136011881498,0.5165285129331869,36.54745,2.46886
129,République de Moldova,-0.46890424481737414,0.491313524922877,22.48035,1.71696
130,République démocratique populaire lao,4.545454545454546,0.23621944877795104,28.07580000000001,2.004945
131,République dominicaine,3.246447727486591,0.5050535525720321,24.195850000000004,2.057505
132,République populaire démocratique de Corée,1.4324853228962817,0.1910386201724784,19.4691,1.485185
133,République-Unie de Tanzanie,8.577060359064514,0.20597217509331528,21.513099999999987,1.72499
134,Roumanie,-2.148057008100072,0.49065591791865154,39.843399999999995,2.572885
135,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,1.9093860772690714,0.5582739356578694,37.894299999999994,2.45791
136,Rwanda,7.584132661355877,0.14089986468200266,21.578799999999994,1.59505
137,Sainte-Lucie,1.6483516483516485,0.6232828870779974,31.353500000000007,1.90822
138,Saint-Kitts-et-Nevis,1.9230769230769231,0.6422268362315074,28.126899999999996,1.85931
139,Saint-Vincent-et-les Grenadines,0.9090909090909091,0.5613800779076238,32.79525,2.15423
140,Samoa,1.0204081632653061,0.5927359672093818,32.057950000000005,2.188905
141,Sao Tomé-et-Principe,5.687203791469194,0.3045154185022028,19.885199999999994,1.757475
142,Sénégal,8.048442033556201,0.22006108342710182,22.70665,1.820255
143,Serbie,-0.840622515051687,0.4988729386641356,30.765849999999997,2.04838
144,Sierra Leone,6.248366013071895,0.22470588235294123,18.615,1.709295
145,Slovaquie,0.3117549972492206,0.5271241369592786,25.904050000000005,2.039255
146,Slovénie,0.3368623676612127,0.5317204859308484,35.15315,2.321035
147,Soudan,6.935074876800153,0.2761173567315603,26.623099999999997,1.88559
148,Sri Lanka,1.5120825286165152,0.27209944751381215,23.783400000000018,1.963335
149,Suède,2.0758122743682312,0.6399734647460199,38.5148,2.32359
150,Suisse,2.6859019469856906,0.6280167890870936,34.784500000000016,2.466305
151,Suriname,2.951388888888889,0.40718760303330026,22.1409,1.97465
152,Tadjikistan,7.109108889133061,0.23068412317905224,19.79395,1.53227
153,Tchad,8.831890425119525,0.16785946649316846,22.440199999999997,1.54979
154,Tchéquie,0.6094130883180199,0.6076604554865427,31.733100000000007,2.33673
155,Thaïlande,1.02696318488218,0.4277812895069532,23.097200000000004,2.037795
156,Timor-Leste,5.678233438485805,0.2936713226418349,21.166349999999994,1.66002
157,Togo,7.174546837368488,0.1499229847680985,21.326950000000004,1.77755
158,Trinité-et-Tobago,1.4388489208633095,0.5179343381236124,31.240350000000003,2.177955
159,Tunisie,3.329009943795936,0.2870472559446172,36.37955000000001,2.51996
160,Turkménistan,4.888053324218082,0.4039742576493167,32.32805,2.093275
161,Turquie,4.628370172455671,0.35685247086457655,40.40185000000001,2.71195
162,Ukraine,-1.5278217239976495,0.4427215922240224,31.5433,2.26008
163,Uruguay,1.072774717309365,0.5353172765169059,31.521400000000003,2.306435
164,Vanuatu,7.508532423208192,0.4270523846755278,23.341750000000005,1.93523
165,Venezuela (République bolivarienne du),-4.136808945200263,0.45357208787151565,19.772050000000004,1.660385
166,Viet Nam,3.0027421346785843,0.4023536572993812,35.978049999999996,2.1608
167,Yémen,7.021298992947121,0.19009174311926608,19.89249999999999,1.577165
168,Zambie,8.48893499308437,0.22628099173553715,22.082499999999996,1.46949
169,Zimbabwe,4.3216289216704755,0.2624065261726715,16.107450000000004,1.39284
